STATE,AVERAGE STARTING SALARY,AVERAGE SALARY
Alabama,"$38,477 ","$48,868 "
Alaska,"$46,785 ","$68,138 "
Arizona,"$34,068 ","$47,403 "
Arkansas,"$33,973 ","$48,616 "
California,"$44,782 ","$78,711 "
Colorado,"$32,980 ","$46,506 "
Connecticut,"$45,280 ","$72,561 "
Delaware,"$41,415 ","$60,214 "
District of Columbia,"$51,359 ","$76,131 "
Florida,"$37,405 ","$49,407 "
Georgia,"$34,872 ","$54,602 "
Hawaii,"$45,963 ","$57,674 "
Idaho,"$33,743 ","$47,504 "
Illinois,"$38,820 ","$61,602 "
Indiana,"$35,241 ","$50,554 "
Iowa,"$35,766 ","$55,443 "
Kansas,"$34,883 ","$47,984 "
Kentucky,"$36,494 ","$52,339 "
Louisiana,"$40,128 ","$50,000 "
Maine,"$33,876 ","$51,077 "
Maryland,"$44,675 ","$66,961 "
Massachusetts,"$44,726 ","$77,804 "
Michigan,"$36,234 ","$62,200 "
Minnesota,"$37,644 ","$57,346 "
Mississippi,"$34,780 ","$42,925 "
Missouri,"$31,842 ","$48,293 "
Montana,"$30,036 ","$51,422 "
Nebraska,"$33,854 ","$52,338 "
Nevada,"$37,973 ","$57,376 "
New Hampshire,"$36,845 ","$57,253 "
New Jersey,"$51,179 ","$69,623 "
New Mexico,"$34,544 ","$47,500 "
New York,"$44,935 ","$79,637 "
North Carolina,"$37,514 ","$49,837 "
North Dakota,"$38,032 ","$51,618 "
Ohio,"$35,249 ","$57,000 "
Oklahoma,"$31,919 ","$45,245 "
Oregon,"$35,534 ","$61,631 "
Pennsylvania,"$44,144 ","$65,863 "
Rhode Island,"$41,481 ","$66,477 "
South Carolina,"$33,057 ","$48,598 "
South Dakota,"$37,419 ","$42,668 "
Tennessee,"$36,402 ","$48,456 "
Texas,"$40,725 ","$52,575 "
Utah,"$35,722 ","$47,244 "
Vermont,"$38,483 ","$60,187 "
Virginia,"$39,398 ","$51,049 "
Washington,"$40,426 ","$54,147 "
West Virginia,"$33,684 ","$45,701 "
Wisconsin,"$36,983 ","$54,998 "
Wyoming,"$45,207 ","$58,650 "